frame,video_seconds,anonymous_worker_session_id,local_track_id,confidence,role_evidence,stitch_status,crop_path
25,1.000,WS-20260725-C0-C48112-001,1,0.7901,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=no repeated reaching hand movement; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-001/frame_00000025_0001.jpg
25,1.000,WS-20260725-C0-C48112-004,4,0.5514,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-004/frame_00000025_0001.jpg
25,1.000,WS-20260725-C0-C48112-005,5,0.3550,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-005/frame_00000025_0001.jpg
25,1.000,WS-20260725-C0-C48112-006,6,0.4202,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-006/frame_00000025_0001.jpg
50,2.000,WS-20260725-C0-C48112-001,1,0.7294,zones=[]; phone_state=POSSIBLE_PHONE; work_motion=no repeated reaching hand movement; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-001/frame_00000050_0002.jpg
50,2.000,WS-20260725-C0-C48112-003,3,0.4612,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-003/frame_00000050_0001.jpg
50,2.000,WS-20260725-C0-C48112-004,4,0.3449,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-004/frame_00000050_0002.jpg
50,2.000,WS-20260725-C0-C48112-006,6,0.5293,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-006/frame_00000050_0002.jpg
75,3.000,WS-20260725-C0-C48112-001,1,0.7599,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=work-like hand movement is still confirming; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-001/frame_00000075_0003.jpg
75,3.000,WS-20260725-C0-C48112-003,3,0.4166,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-003/frame_00000075_0002.jpg
75,3.000,WS-20260725-C0-C48112-006,6,0.4005,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-006/frame_00000075_0003.jpg
100,4.000,WS-20260725-C0-C48112-001,1,0.7472,zones=[]; phone_state=ON_PHONE; work_motion=no repeated reaching hand movement; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-001/frame_00000100_0004.jpg
100,4.000,WS-20260725-C0-C48112-003,3,0.5369,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=no repeated reaching hand movement; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-003/frame_00000100_0003.jpg
100,4.000,WS-20260725-C0-C48112-005,5,0.3134,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-005/frame_00000100_0002.jpg
100,4.000,WS-20260725-C0-C48112-006,6,0.7161,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-006/frame_00000100_0004.jpg
125,5.000,WS-20260725-C0-C48112-001,1,0.7703,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=worker wrists were not visible; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-001/frame_00000125_0005.jpg
125,5.000,WS-20260725-C0-C48112-003,3,0.3419,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-003/frame_00000125_0004.jpg
125,5.000,WS-20260725-C0-C48112-006,6,0.7814,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=no repeated reaching hand movement; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-006/frame_00000125_0005.jpg
150,6.000,WS-20260725-C0-C48112-001,1,0.7510,zones=[]; phone_state=POSSIBLE_PHONE; work_motion=no repeated reaching hand movement; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-001/frame_00000150_0006.jpg
150,6.000,WS-20260725-C0-C48112-003,3,0.3533,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-003/frame_00000150_0005.jpg
150,6.000,WS-20260725-C0-C48112-006,6,0.7734,zones=[]; phone_state=POSSIBLE_PHONE; work_motion=work-like hand movement is still confirming; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-006/frame_00000150_0006.jpg
175,7.000,WS-20260725-C0-C48112-001,1,0.8267,zones=[]; phone_state=ON_PHONE; work_motion=no repeated reaching hand movement; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-001/frame_00000175_0007.jpg
175,7.000,WS-20260725-C0-C48112-003,3,0.5452,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-003/frame_00000175_0006.jpg
175,7.000,WS-20260725-C0-C48112-005,5,0.3087,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-005/frame_00000175_0003.jpg
175,7.000,WS-20260725-C0-C48112-006,6,0.7437,zones=[]; phone_state=NO_PHONE_EVIDENCE; work_motion=pose evidence unavailable; No activity zones are configured,not_stitched,worker_identity_crops/WS-20260725-C0-C48112-006/frame_00000175_0007.jpg
